"Year","Species","Elevation","day246","day247","day248","day249","day250","day251","day252","day253","day254","day255","day256","day257","day258","day259","day260","day261","day262","day263","day264","day265","day266","day267","day268","day269","day270","day271","day272","day273","day274","day275","day276","day277","day278","day279","day280","day281","day282","day283","day284","day285","day286","day287","day288","day289","day290","day291","day292","day293","day294","day295","day296","day297","day298","day299","day300","day301","day302","day303","day304","day305","day306","day307","day308","day309","day310"
"1991","RMS","1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1992","RMS","1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1993","RMS","1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1994","RMS","1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1995","RMS","1400","0.90","1.80","2.60","3.50","4.40","5.20","6.10","6.90","7.70","8.60","9.40","10.20","11.00","11.90","12.70","13.50","14.40","15.20","16.00","16.90","17.70","18.60","19.40","20.20","21.10","21.90","22.80","27.90","32.90","38.00","43.10","48.20","53.20","58.10","62.90","67.80","72.60","77.50","82.40","87.20","74.80","62.40","50.00","37.60","25.20","12.80","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1996","RMS","1400","1.30","2.60","3.90","5.20","6.40","7.50","8.70","9.90","11.10","12.20","13.40","14.60","15.70","16.90","18.10","19.20","20.40","21.10","21.80","22.50","23.20","23.90","24.50","25.20","25.90","26.60","27.60","28.70","29.70","30.70","31.80","32.80","33.80","35.80","37.90","39.90","41.90","44.00","46.00","48.00","50.10","52.10","54.20","56.30","58.40","60.40","53.80","47.20","40.60","34.00","27.40","20.80","14.20","7.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1997","RMS","1400","3.60","5.00","6.30","7.70","9.10","10.50","11.80","13.20","14.60","15.90","17.30","18.70","20.00","21.40","22.80","24.20","25.60","27.00","28.50","29.90","31.30","32.70","34.10","35.50","36.90","38.30","39.70","41.10","42.60","49.20","55.70","62.30","68.90","75.50","82.00","71.20","60.30","49.50","38.70","27.90","17.00","6.20","5.20","4.20","3.20","2.20","1.20","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1998","RMS","1400","5.60","11.20","12.20","13.20","14.20","15.20","16.20","17.20","18.20","19.20","20.20","21.20","22.20","23.20","24.20","25.70","27.20","28.60","30.10","31.60","33.10","34.60","36.00","36.80","37.70","38.50","39.30","40.20","41.00","41.80","43.30","44.80","46.30","47.80","49.30","50.70","52.20","50.80","49.50","48.10","46.70","45.40","44.00","36.80","29.70","22.50","15.30","8.20","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1999","RMS","1400","6.20","12.40","18.60","24.80","31.00","31.20","31.30","31.50","31.70","31.90","32.00","32.20","32.40","32.50","32.70","32.90","33.00","33.20","34.80","36.50","38.10","39.80","41.40","43.00","44.70","46.30","48.00","47.70","47.50","47.20","47.00","46.70","46.40","46.20","51.50","56.80","62.10","67.40","72.70","78.00","69.00","60.00","51.00","42.00","33.00","24.00","15.00","10.30","5.50","0.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2000","RMS","1400","0.40","0.70","1.10","1.40","1.80","2.10","2.50","2.80","3.20","3.50","3.90","4.20","5.10","6.00","6.90","7.80","8.70","9.60","10.50","11.40","12.30","13.20","14.10","15.00","18.70","22.50","26.20","30.00","33.70","37.40","41.20","42.80","44.40","46.00","47.60","49.20","50.80","52.40","54.00","55.60","60.60","65.70","70.70","75.70","80.80","85.80","73.20","60.50","47.90","35.30","22.70","10.00","6.70","3.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
