RecordID,Year,Adj. Day of Year,Species,Elevation,Pigment
1,1991-01-01,1991-09-04,RMS,1400,0.00
2,1991-01-01,1991-09-05,RMS,1400,0.00
3,1991-01-01,1991-09-06,RMS,1400,0.00
4,1991-01-01,1991-09-07,RMS,1400,0.00
5,1991-01-01,1991-09-08,RMS,1400,0.00
6,1991-01-01,1991-09-09,RMS,1400,0.00
7,1991-01-01,1991-09-10,RMS,1400,0.00
8,1991-01-01,1991-09-11,RMS,1400,0.00
9,1991-01-01,1991-09-12,RMS,1400,0.00
10,1991-01-01,1991-09-13,RMS,1400,0.00
11,1991-01-01,1991-09-14,RMS,1400,0.00
12,1991-01-01,1991-09-15,RMS,1400,0.00
13,1991-01-01,1991-09-16,RMS,1400,0.00
14,1991-01-01,1991-09-17,RMS,1400,0.00
15,1991-01-01,1991-09-18,RMS,1400,0.00
16,1991-01-01,1991-09-19,RMS,1400,0.00
17,1991-01-01,1991-09-20,RMS,1400,0.00
18,1991-01-01,1991-09-21,RMS,1400,0.00
19,1991-01-01,1991-09-22,RMS,1400,0.00
20,1991-01-01,1991-09-23,RMS,1400,0.00
21,1991-01-01,1991-09-24,RMS,1400,0.00
22,1991-01-01,1991-09-25,RMS,1400,0.00
23,1991-01-01,1991-09-26,RMS,1400,0.00
24,1991-01-01,1991-09-27,RMS,1400,0.00
25,1991-01-01,1991-09-28,RMS,1400,0.00
26,1991-01-01,1991-09-29,RMS,1400,0.00
27,1991-01-01,1991-09-30,RMS,1400,0.00
28,1991-01-01,1991-10-01,RMS,1400,0.00
29,1991-01-01,1991-10-02,RMS,1400,0.00
30,1991-01-01,1991-10-03,RMS,1400,0.00
31,1991-01-01,1991-10-04,RMS,1400,0.00
32,1991-01-01,1991-10-05,RMS,1400,0.00
33,1991-01-01,1991-10-06,RMS,1400,0.00
34,1991-01-01,1991-10-07,RMS,1400,0.00
35,1991-01-01,1991-10-08,RMS,1400,0.00
36,1991-01-01,1991-10-09,RMS,1400,0.00
37,1991-01-01,1991-10-10,RMS,1400,0.00
38,1991-01-01,1991-10-11,RMS,1400,0.00
39,1991-01-01,1991-10-12,RMS,1400,0.00
40,1991-01-01,1991-10-13,RMS,1400,0.00
41,1991-01-01,1991-10-14,RMS,1400,0.00
42,1991-01-01,1991-10-15,RMS,1400,0.00
43,1991-01-01,1991-10-16,RMS,1400,0.00
44,1991-01-01,1991-10-17,RMS,1400,0.00
45,1991-01-01,1991-10-18,RMS,1400,0.00
46,1991-01-01,1991-10-19,RMS,1400,0.00
47,1991-01-01,1991-10-20,RMS,1400,0.00
48,1991-01-01,1991-10-21,RMS,1400,0.00
49,1991-01-01,1991-10-22,RMS,1400,0.00
50,1991-01-01,1991-10-23,RMS,1400,0.00
51,1991-01-01,1991-10-24,RMS,1400,0.00
52,1991-01-01,1991-10-25,RMS,1400,0.00
53,1991-01-01,1991-10-26,RMS,1400,0.00
